"filename", "language", "Python", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/ilumn/Projects/LehighValleyHackathon/main.py", "Python", -3, 0, 0, 0, 3, 2, 2
"/Users/ilumn/Projects/LehighValleyHackathon/static/app.js", "JavaScript", 0, 0, 0, 173, 13, 31, 217
"/Users/ilumn/Projects/LehighValleyHackathon/static/code.css", "CSS", 0, 0, 83, 0, 0, 16, 99
"/Users/ilumn/Projects/LehighValleyHackathon/static/code.html", "HTML", 0, 51, 0, 0, 0, 2, 53
"/Users/ilumn/Projects/LehighValleyHackathon/static/code.js", "JavaScript", 0, 0, 0, -64, 2, -4, -66
"/Users/ilumn/Projects/LehighValleyHackathon/static/final.html", "HTML", 0, 101, 0, 0, 8, 17, 126
"/Users/ilumn/Projects/LehighValleyHackathon/static/index.html", "HTML", 0, 99, 0, 0, 0, 22, 121
"/Users/ilumn/Projects/LehighValleyHackathon/static/ref/app.js", "JavaScript", 0, 0, 0, -135, -7, -19, -161
"/Users/ilumn/Projects/LehighValleyHackathon/static/script.js", "JavaScript", 0, 0, 0, 207, 17, 26, 250
"/Users/ilumn/Projects/LehighValleyHackathon/static/styles.css", "CSS", 0, 0, -405, 0, -35, -74, -514
"Total", "-", -3, 251, -322, 181, 1, 19, 127
